,User,Tweet
177,NanaKwa_,"RT @SeatlabNFT: One Retweet = One Tree Planted 🌱

Reports suggest the 2022 World Cup could generate up to 10 million tonnes of CO2e... that…"
178,mohsach,Kayaknya akan jauh lebih menarik kalo final world cup 2022 adalah Kroasia vs Maroko. Sama-sama belum pernah juara dunia. Supaya ada juara dunia baru selain yang itu-itu lagi...
179,afcnick___,RT @David_Ornstein: 🚨 Arsenal priority for January window is Mykhaylo Mudryk. No agreements but conversations happening &amp; 21yo Shakhtar Don…
180,melvin_cfc,"RT @AbsoluteChelsea: Endrick, who is closing in on a move to Real Madrid, and his family were impressed by #Chelsea but found them to be mo…"
181,ifunanya_glocy,RT @investogist: Qatar World Cup 2022: France sends England home with a 2-1 win. https://t.co/95y3Jpojik
182,kayodednl,RT @DailyPostNGR: Qatar 2022: David Beckham reacts to England’s elimination from World Cup https://t.co/b6YDZ03g8A
183,elmehdivagabond,RT @trtworld: Captivating infinite zoom artwork created by Palestinian artist and medical student Azzedine Lulu takes viewers through momen…
184,dipaksiyani,https://t.co/hLsyY2eMGx
185,RaiMz28,"RT @FracturedApes: 🥭🦍 Trait store is updated and loaded with some new 🔥 traits‼️

You’ve already 👀 seen the 2022 World Cup ⚽️ traits, but h…"
186,Grandedmaster,"RT @AbsoluteChelsea: Endrick, who is closing in on a move to Real Madrid, and his family were impressed by #Chelsea but found them to be mo…"
187,kayodednl,RT @DailyPostNGR: Qatar 2022: England take decision on sacking Southgate after World Cup exit https://t.co/5RAEcO1pQJ
188,Kvybee_,RT @David_Ornstein: 🚨 Arsenal priority for January window is Mykhaylo Mudryk. No agreements but conversations happening &amp; 21yo Shakhtar Don…
189,noname_8,"RT @hareonnaa_: เอาถ้วยกลับบ้าน ❌❌❌
เอาแมวกลับบ้าน ✅✅✅✅✅ https://t.co/Rp48fa5doX"
190,JodacynBrad,"RT @BlancoYMessiii: 1986 World Cup Quarter-Finals

2022 World Cup Quarter-Finals

Hand of the god. https://t.co/rzlqbDCMOp"
191,republic,#FIFAWorldCup | Spanish referee who issued record 15 yellow cards in Argentina vs Netherlands match sent back home: Report https://t.co/jFBeIOvZkR
192,Akwesi_Holic,"RT @AbsoluteChelsea: Endrick, who is closing in on a move to Real Madrid, and his family were impressed by #Chelsea but found them to be mo…"
193,Phillipong3,"RT @leotventertain: Today's meme thread 😂😂😂 From Qatar 2022 FIFA World cup to Wizkid (Sir Wizkid, Big WIZ, Popsy)-Ghana show to Dark humors…"
194,RyouAFC,RT @David_Ornstein: 🚨 Arsenal priority for January window is Mykhaylo Mudryk. No agreements but conversations happening &amp; 21yo Shakhtar Don…
195,Benja_star,RT @David_Ornstein: 🚨 Arsenal priority for January window is Mykhaylo Mudryk. No agreements but conversations happening &amp; 21yo Shakhtar Don…
196,PyrrhicMux,RT @David_Ornstein: 🚨 Arsenal priority for January window is Mykhaylo Mudryk. No agreements but conversations happening &amp; 21yo Shakhtar Don…
197,madhyamam,ഖത്തർ ലോകകപ്പ് 'കട്ടെടുത്ത' മഗ്രിബിലെ ഉമ്മമാർ; അവർ വീട്ടുവേലയെടുത്ത് കളിപഠിപ്പിച്ച മക്കൾ #MothersofMoroccanplayers #qatarworldcup2022 #walidregragui #SofianeBoufal #fifa #AchrafHakimi https://t.co/Nm8yUr7ZO1
198,mooserman,"RT @David_Ornstein: ⚽️ Bellingham #ENG
⚽️ Mudryk #Ukraine 
⚽️ Amrabat, Ounahi, Amallah #MOR
⚽️ Musah #USA
⚽️ Felix, Ramos, Ronaldo #POR
⚽️…"
199,SenchaBag,"""Pouring Through a Crisis: How Budweiser Salvaged Its World Cup"" by Sarah Lyall via NYT https://t.co/vReiNAaQsB"
200,mr_factuality,"@Joshua_Ubeku He gets to World Cup final and despite winning POTT, he was bashed.
Ronaldo never won the Olympics 
Never played a World Cup final 
Never won POTT in any international competition 
Never won U-17 FIFA WC
Lost Euro 2004 final to Greece. 
Drops a stinker in 2022 WC. https://t.co/HH2MHPRO63"
201,brendy248,RT @jhendy_10: England and the 2022 FIFA World Cup 🇶🇦 🏆 Thread:
202,allaroundngr,"President Muhammadu Buhari has congratulated the Moroccan team, the Atlas Lions, and the ruler of the country, King Mohammed VI for making history by becoming the first team from an African country to ever qualify for the World Cup semi-finals at the FIFA World Cup Qatar 2022. https://t.co/QujukkBkcH"
203,ibamilly1,"RT @AbsoluteChelsea: Endrick, who is closing in on a move to Real Madrid, and his family were impressed by #Chelsea but found them to be mo…"
204,thedextazlab,England players adopt stray Qatar cat after World Cup exit https://t.co/0OwgIE5RDF
205,dcberry_,"RT @AbsoluteChelsea: Endrick, who is closing in on a move to Real Madrid, and his family were impressed by #Chelsea but found them to be mo…"
206,AbdulazeezDeser,"هذا قبل هزيمة فرنسا و بلجيكا و البرازيل و إسبانيا و الإكوادور و كندا و البرتغال و كوريا الجنوبية !
إفريقيا ستجعل من كأس العالم نسخة مصغرة من بطولة أمم إفريقيا ! 
https://t.co/aBztUB0Nvt"
207,Elsa90251268,"RT @SerieTV46: ""Dreamers (FiFA World Cup 2022 Official Soundtrack)"" by #JUNGKOOK of @BTS_twt it's the most streamed song by a Kpop Act of 1…"
208,AidenOwa,"RT @FineMiracle4: FIFA World Cup 2022 is steadily reaching its climax, with the semi-finals about to begin. France, Croatia, Argentina, and…"
209,Philip_Cullum,"RT @NickBryantNY: What sort of footballing nation does England want to be? Such a terrific, rumination from ⁦@jonathanliew⁩ made all the be…"
210,Chidozieahaneku,"RT @toisports: 'You are for me the greatest of all time'

@imVkohli hails Cristiano Ronaldo.

READ: https://t.co/72zefAaJWQ

#CristianoRona…"
211,gunnner_singh,RT @David_Ornstein: 🚨 Arsenal priority for January window is Mykhaylo Mudryk. No agreements but conversations happening &amp; 21yo Shakhtar Don…
212,PenaltyIsMyDrug,RT @BarcaWorldwide: Haven't seen mainstream media talk about this enough so I'll bring it back up again: Ronaldo has scored 𝟬 𝗚𝗢𝗔𝗟𝗦 in Worl…
213,AbsoluteChelsea,"Endrick, who is closing in on a move to Real Madrid, and his family were impressed by #Chelsea but found them to be more hesitant in committing to the financial terms, even though a large element of the deal was performance-related.

[via @David_Ornstein]

https://t.co/YpAci1OelQ"
214,itzphloyd,RT @David_Ornstein: 🚨 Arsenal priority for January window is Mykhaylo Mudryk. No agreements but conversations happening &amp; 21yo Shakhtar Don…
215,sir_Khaay,RT @David_Ornstein: 🚨 Arsenal priority for January window is Mykhaylo Mudryk. No agreements but conversations happening &amp; 21yo Shakhtar Don…
216,arsenalmatt1,RT @David_Ornstein: 🚨 Arsenal priority for January window is Mykhaylo Mudryk. No agreements but conversations happening &amp; 21yo Shakhtar Don…
217,Gooner_Dynasty,RT @David_Ornstein: 🚨 Arsenal priority for January window is Mykhaylo Mudryk. No agreements but conversations happening &amp; 21yo Shakhtar Don…
218,_heisnova,RT @AbsoluteChelsea: #Chelsea are exploring the possibility of signing Youssoufa Moukoko. A move is 'certainly not done' but other Premier…
219,Thenichenews,Pele hails Ronaldo after Portugal's World Cup exit - https://t.co/tqvB4gP7d4 - https://t.co/tXC7xeDBZH https://t.co/I0NdgAV72j
220,Mthiya_Nhla,RT @Tshepo__SS: A player who was at Qatar World Cup 2022 add it.
221,MeridianSport,Neymar: “Bado Sijajifunza Kupoteza” https://t.co/GbBTfBjDR8 via @Meridianbet
222,HighburyWay,RT @David_Ornstein: 🚨 Arsenal priority for January window is Mykhaylo Mudryk. No agreements but conversations happening &amp; 21yo Shakhtar Don…
223,loveforkookoo,"RT @_RapperJK: RedOne spoke about the launch of the Official FIFA World Cup 2022 soundtrack: 

“I am incredibly proud to have delivered Dre…"
224,TheNationNews,"President Muhammadu Buhari has congratulated the Moroccan national football team, the Atlas Loins, on its advancement to the semi finals of the ongoing FIFA World Cup Qatar 2022, saying the team is capable of winning the tournament.

https://t.co/4Selx62M9G"
225,penumutchu30,RT @penumutchu30: Rohit in 2022: Temporary captain in both tests and ODI's. Permanent captain in T20I's. India lost Asia Cup and T20 world…
226,colincmann,RT @advancedtv: England’s World Cup Quarter Final match on December 10th was watched by a peak audience of 23 million across ITV and ITVX a…
227,DemiLovatoTH,@null England players adopt stray Qatar cat after World Cup exit England's hopes of li  https://t.co/VE9AhePJLm
228,gdibarry,@null England players adopt stray Qatar cat after World Cup exit England's hopes of li  https://t.co/JTWke5oeT5
229,izuzuTIGER,RT @David_Ornstein: 🚨 Arsenal priority for January window is Mykhaylo Mudryk. No agreements but conversations happening &amp; 21yo Shakhtar Don…
230,Arwen389,"RT @ChartsJJK: 2022 World Cup songs streams — Spotify + YouTube: 

#1 Dreamers — 70.9M + 196M = 266.9M (20 days) 👑
#2 Hayya — 13.6M + 84.3M…"
231,emma_chimaobi,RT @RoyNemer: Officials for Argentina vs. Croatia in semi finals of World Cup. https://t.co/omq9Xo5hQh https://t.co/OIw5Znq4V9
232,AzibJaved10,@taslimanasreen Highlight fifa world cup 2022 #Qatar2022 #FIFAWorldCup #MARCRO #hijab #sports https://t.co/Aj3b6hW0xt
233,JANEKATRINA1991,RT @SoccerCryptoBSC: Soccer Crypto is a unique football game on Binance Smart BNB Chain (BSC).  Soccer Crypto - Football World Cup 2022 Fre…
234,Fathul_Patoel,"RT @Tommy_desky: Bedah Tim produksi siaran langsung FIFA World Cup 2022.

Di Pildun 2022 memakai 42 Kamera &amp; sekitar 2500 crew produksi sia…"
235,amirsuti1786,RT @David_Ornstein: 🚨 Arsenal priority for January window is Mykhaylo Mudryk. No agreements but conversations happening &amp; 21yo Shakhtar Don…
236,ambulsiva,https://t.co/eVt9gSXFEb
237,private_khz,RT @David_Ornstein: 🚨 Arsenal priority for January window is Mykhaylo Mudryk. No agreements but conversations happening &amp; 21yo Shakhtar Don…
238,Sumanpurbey,"RT @Hisense_IND: The Hisense U7H is the official TV of FIFA World Cup 2022 for a reason - it brings the game to your home! 

Experience the…"
239,bgeezy44,RT @David_Ornstein: 🚨 Arsenal priority for January window is Mykhaylo Mudryk. No agreements but conversations happening &amp; 21yo Shakhtar Don…
240,footballespana_,"Ouznahi has been outstanding so far.

https://t.co/r669I1xkUX"
241,GuardianTT,"RT @CNC3TV: It definitely has been a #WorldCup of upsets. Semi-Finals returns on Tuesday 13th December 2022.

Who do you predict will take…"
242,angelojuice,"RT @BudweiserNG: #LeoMessi, @neymarjr &amp; @sterling7 have been working their whole lives to capture the FIFA World Cup. This is their tunnel.…"
243,FineMiracle4,"FIFA World Cup 2022 is steadily reaching its climax, with the semi-finals about to begin. France, Croatia, Argentina, and Morocco are the four teams that will play in the semi-finals.
#WorldCup2022 https://t.co/KTpapQpSdt"
244,mermelada_girl,"RT @ChartsJJK: 2022 World Cup songs streams — Spotify + YouTube: 

#1 Dreamers — 70.9M + 196M = 266.9M (20 days) 👑
#2 Hayya — 13.6M + 84.3M…"
245,tutor_sayed,On the way to the final. Who will be the champion in FIFA World Cup Qatar 2022? https://t.co/mzeZkNgahG
246,leotventertain,"RT @leotventertain: Today's meme thread 😂😂😂 From Qatar 2022 FIFA World cup to Wizkid (Sir Wizkid, Big WIZ, Popsy)-Ghana show to Dark humors…"
247,NST_Online,"#NSTsports Following the recent bruising #NationsCup campaign in South Africa, midfielder Nik Aiman Nik Rozemi has been ruled out of the #Hockey #WorldCup, which starts on Jan 13 in Bhubaneswar-Roukela.

https://t.co/2ggx2gdLQE"
248,InsideSportIND,"बढ़ाया रोनाल्डो का हौसला, पोस्ट कर कह डाली दिल जीत लेने वाली बात

#ViratKohli #CristianoRonaldo #FIFAWorldCup 
https://t.co/3bYf75EB0V"
249,SutsilviSangad1,"RT @gilabola_ina: Perkiraan Total fans yang akan hadir di pertandingan babak perempat final World Cup 2022 Belanda vs Argentina

🇳🇱 Belanda…"
250,NickKara,"RT @LuixenS: EXCLUSIVE WORLD CUP CARD GIVEAWAY THANKS TO @EAFIFAMOBILE 

Requirements:
- Follow @EAFIFAMOBILE and @LuixenS 
- RT this Tweet…"
251,Arsenalfandom,RT @David_Ornstein: 🚨 Arsenal priority for January window is Mykhaylo Mudryk. No agreements but conversations happening &amp; 21yo Shakhtar Don…
252,Canuckgirl20,"I never thought that any World Cup would top 2010 South Africa.. but wow Qatar 2022 has been something for the books and especially because of Morocco's success and the unity of Africa and Muslims. And ofc Qatar has been an amazing host for the games, what a World Cup ❤👏"
253,dreyamedia,DEADLINE: World Cup Ratings: England’s Defeat To France Is Most-Watched UK Broadcast Of The Year With 21.3M Peak https://t.co/YM4HsDWcsf
254,thedextazlab,"Manchester City Benefit From World Cup Quarter-Final Results, But Tottenham Hotspur Could Suffer https://t.co/F7EaF2qDJJ"
255,pmevans5,"RT @LLibertadAvanza: Because we are a country, not a Disney movie.  https://t.co/k8Lps8PgW2"
256,CorbenDallas000,"RT @BlueMove_OA: 🇶🇦 Road to Qatar 2022 

Users who hold the nation flag NFT can join the free-mint pool of the World Cup players' launchpad…"
257,melvin_cfc,"RT @CFCDaily: Chelsea are exploring the possibility of bringing Youssoufa Moukoko to Stamford Bridge. [@David_Ornstein] #cfc 

 https://t.c…"
258,EAY_Sports,"""ميسي المستفز"" نقطة تحول جديدة.. الأرجنتين تغازل لقب المونديال

https://t.co/ehyh61jAd3

#كأس_العالم_قطر_2022  #الأرجنتين_كرواتيا 
#كاس_العالم_FIFA   #FIFAWorldCup 
#الإمارات_اليوم #الإمارات_اليوم_الرياضة https://t.co/mvTzfhxzDP"
259,extraaustin,RT @ahmedQ8_2002: #6. Assist vs Netherlands in World Cup 2022 QF https://t.co/ish6P5ANQB
260,DhannoArsenal,RT @David_Ornstein: 🚨 Arsenal priority for January window is Mykhaylo Mudryk. No agreements but conversations happening &amp; 21yo Shakhtar Don…
261,DonPabl0_,"2022 WORLD CUP
Luka Modric or Tchouameni (Real Madrid)"
262,TexasDem2,"World Cup Ratings: England’s Defeat To France Is
Most-Watched UK TV Broadcast Of The Year With 21.3M Peak 
https://t.co/v8U1igMGlg"
263,JAEmmanuel9,RT @David_Ornstein: 🚨 Arsenal priority for January window is Mykhaylo Mudryk. No agreements but conversations happening &amp; 21yo Shakhtar Don…
264,AyomideGeorge,RT @AbsoluteChelsea: #Chelsea are exploring the possibility of signing Youssoufa Moukoko. A move is 'certainly not done' but other Premier…
265,afccjoee,RT @David_Ornstein: 🚨 Arsenal priority for January window is Mykhaylo Mudryk. No agreements but conversations happening &amp; 21yo Shakhtar Don…
266,Babarka1stbaap,"Captain Babar Azam in 2022
9 out of 10 L for KK
Lost 1-0 vs Aus at home
1-1 draw vs SL
Bottled one of the easiest Asia cup
Lost the world cup final
Lost 2-0 to England at home

The GOAT captain 😂"
267,plasebouvart,"RT @LLibertadAvanza: Because we are a country, not a Disney movie.  https://t.co/k8Lps8PgW2"
268,JoshJr89111205,RT @AbsoluteChelsea: #Chelsea are exploring the possibility of signing Youssoufa Moukoko. A move is 'certainly not done' but other Premier…
269,sir_Khaay,RT @liam_twomey: I took a break from the World Cup to write about Injury FC 👇 #CFC https://t.co/vXti9A2495
270,R_T_Q2022,"Who do you want to win the Qatar 2022 World Cup?

Croatia     🇭🇷
Morocco  🇲🇦
Argentina 🇦🇷
France      🇨🇵

Could it be a first time winner? 👀"
271,TunmiseAlabi1,"RT @the_real_comfyy: Choose your betting options for World Cup 2022, place stakes on top matches and get excited about World Cup 2022 with…"
272,Tinooooo15,RT @David_Ornstein: 🚨 Arsenal priority for January window is Mykhaylo Mudryk. No agreements but conversations happening &amp; 21yo Shakhtar Don…
273,Obadimz,RT @AfricaFactsZone: Morocco and Croatia are the only teams who haven't lost a game at the 2022 FIFA World Cup in Qatar.
274,Emkusa618,RT @David_Ornstein: 🚨 Arsenal priority for January window is Mykhaylo Mudryk. No agreements but conversations happening &amp; 21yo Shakhtar Don…
275,POISSENOT,👇🚨 https://t.co/r5sSJ4H28P
276,kotetsu_g10,"RT @tak53381102: 元祖コロナウイルスのMERSか。確かにサッカー観戦後に観光に行く人は注意だな
https://t.co/TpVDNyYDij

”ワールドカップから帰国したイングランド・ファンは、致命的なラクダ風邪を家に持ち帰る危険性について警告されている。→"
277,Ovo_himsef449,"RT @leotventertain: Today's meme thread 😂😂😂 From Qatar 2022 FIFA World cup to Wizkid (Sir Wizkid, Big WIZ, Popsy)-Ghana show to Dark humors…"
278,26Ceicei,"RT @Tommy_desky: Bedah Tim produksi siaran langsung FIFA World Cup 2022.

Di Pildun 2022 memakai 42 Kamera &amp; sekitar 2500 crew produksi sia…"
279,_hantusingle_,RT @David_Ornstein: 🚨 Arsenal priority for January window is Mykhaylo Mudryk. No agreements but conversations happening &amp; 21yo Shakhtar Don…
280,IamAhrtom,RT @David_Ornstein: 🚨 Arsenal priority for January window is Mykhaylo Mudryk. No agreements but conversations happening &amp; 21yo Shakhtar Don…
281,Varun9Vijay,"RT @GuardianUS: Grant Wahl was a kind, wise champion of the voiceless in soccer https://t.co/4VKsIc4ElP"
282,CollinsRvssian,@sportbible This world cup 2022 was a well orchestrated move to have messi win it.
283,CSthoi,"RT @SerieTV46: ""Dreamers (FiFA World Cup 2022 Official Soundtrack)"" by #JUNGKOOK of @BTS_twt it's the most streamed song by a Kpop Act of 1…"
284,Charlie_wood30,"RT @Zonal_Marking: England’s tactical plan v France probably the best of the Southgate era, exploiting space behind Mbappe. Henderson overl…"
285,AlexKayJelski,"RT @TimSpiers: 🇭🇷 Not overcoached
🇭🇷 Friends, not team mates
🇭🇷 No cliques
🇭🇷 Having to learn for themselves

Slaven Bilic explains how a c…"
286,JosRoldnDorado1,"RT @Geryco81: 💉🎁 Regalatela por Navidad!! 😴
#repentinitis #COVID #vacunacion

https://t.co/E9rpcBvTU3 https://t.co/I0Ad66TvZ4"
287,JimHagart,Why can’t Scotland get to the World Cup semi finals? https://t.co/FLEwH8hCCu
288,Grandedmaster,RT @AbsoluteChelsea: #Chelsea are exploring the possibility of signing Youssoufa Moukoko. A move is 'certainly not done' but other Premier…
289,Gullit_VC,"RT @WellaHealth: Predict and Win the FIFA World Cup  2022 and win a Phone!

Here's how to play:
Visit: https://t.co/5ujbQX5T0u
* Choose a t…"
290,MUFCNewsApp,Facundo Pellistri returns to Manchester after World Cup exit: https://t.co/XcmJLRxqrV
291,forestnews_app,"Report: Forest rivalled Manchester United for World Cup shootout king, £5m deal was close: https://t.co/8ySJmgd12W"
292,SpursNewsApp,“A risk”- Robinson urges Tottenham to wait until the summer to land World Cup hero: https://t.co/eSKtBmB8Sr
293,SpursNewsApp,Exclusive: World Cup star linked with Spurs transfer won’t move in January but 2nd half of season could be crucial: https://t.co/9I7s44uj7h
294,wifeyofsuga,"RT @SerieTV46: ""Dreamers (FiFA World Cup 2022 Official Soundtrack)"" by #JUNGKOOK of @BTS_twt it's the most streamed song by a Kpop Act of 1…"
295,AddaMerouani,RT @David_Ornstein: 🚨 Arsenal priority for January window is Mykhaylo Mudryk. No agreements but conversations happening &amp; 21yo Shakhtar Don…
296,badrusalamm,"RT @Tommy_desky: Bedah Tim produksi siaran langsung FIFA World Cup 2022.

Di Pildun 2022 memakai 42 Kamera &amp; sekitar 2500 crew produksi sia…"
297,Aidankabudi,"RT @afcstuff: The full article on potential January moves for Arsenal, including Mykhaylo Mudryk, Yunus Musah, Joao Felix, Matheus Cunha &amp;…"
298,Makmey29,"RT @CryptoAgresivoo: 150$ Giveaway in 24h 

✅ Join https://t.co/369JdfAzAr

✅ (+100$) RT + Like: https://t.co/0TptW0s7Lw…

✅ (+50$) tag 3 f…"
299,tsubasa283wwe,"RT @soccanime: FIFA WORLD CUP QATAR 2022
ラウンド16
日本 1-1 クロアチア
PK 1-3

前田⚽ https://t.co/qyes5EtYdG"
